,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
698192d5-f9a4-4972-a3d3-e7a26d0b71a2.jpeg,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,11,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1
ed53237c-5e44-4983-ad7d-757c3afc843b.jpeg,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,6,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0,1
71f8618a-b87e-41a9-8a3f-0ff620c510e2.jpeg,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,1
15ce44f2-c119-4b50-a0a3-09907dfe763c.jpeg,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,5,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,5,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4140026a-232f-4c5d-9ee1-75a8f1bfe78f.jpeg,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,6,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1
2d1360a8-0e15-4a1f-a61b-514260cbc0e9.jpeg,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1
b7e1611f-1f3a-4f8d-98aa-3434e80c9f46.jpeg,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,5,5,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1
f3fde1fb-2dd4-450a-99e6-934ac56cd6cf.jpeg,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,1
d6fd5c50-6906-423e-878a-b0b6afd0ee15.jpeg,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,2,0,8,0,2,0,0,4,0,0,0,0,0,0,0,0,2
e625615f-8e16-44a8-946e-f581d2b776a6.jpeg,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,3,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,19,0,1,7,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1
